context_length,d_model,num_layers,num_heads,d_ff,batch_size,mean_time,std_time,cv
128,768,12,12,3072,4,0.053948,0.000206,0.0038184918810706603
256,768,12,12,3072,4,0.103108,0.001360,0.013190053148155332
512,768,12,12,3072,4,0.225460,0.002466,0.010937638605517608
128,1024,24,16,4096,4,0.153714,0.000861,0.005601311526601351
256,1024,24,16,4096,4,0.306280,0.001983,0.0064744678072352095
512,1024,24,16,4096,4,0.664856,0.001370,0.0020605965803121274
128,1280,36,20,5120,4,0.365430,0.001881,0.005147360643625319
256,1280,36,20,5120,4,0.689973,0.001362,0.001973990286576431
512,1280,36,20,5120,4,,,OOM
128,1600,48,25,6400,4,0.718780,0.001638,0.002278861404045744
256,1600,48,25,6400,4,,,OOM
512,1600,48,25,6400,4,,,OOM
128,2560,32,32,10240,4,,,OOM
256,2560,32,32,10240,4,,,OOM
512,2560,32,32,10240,4,,,OOM
