context_length,d_model,num_layers,num_heads,d_ff,batch_size,mean_time,std_time,cv
128,768,12,12,3072,4,0.081092,0.089747,1.1067306269422383
256,768,12,12,3072,4,0.125397,0.078631,0.62705646865555
512,768,12,12,3072,4,0.245418,0.076239,0.31064958560496786
128,1024,24,16,4096,4,0.175425,0.078034,0.4448282741912499
256,1024,24,16,4096,4,0.324955,0.076489,0.23538336077303013
512,1024,24,16,4096,4,0.678637,0.072188,0.106372036891593
128,1280,36,20,5120,4,0.381917,0.075871,0.19865834723251385
256,1280,36,20,5120,4,0.699106,0.075157,0.10750444138657085
512,1280,36,20,5120,4,,,OOM
128,1600,48,25,6400,4,0.726526,0.072795,0.10019600124427756
256,1600,48,25,6400,4,,,OOM
512,1600,48,25,6400,4,,,OOM
128,2560,32,32,10240,4,,,OOM
256,2560,32,32,10240,4,,,OOM
512,2560,32,32,10240,4,,,OOM
