context_length,d_model,num_layers,num_heads,d_ff,batch_size,mean_time,std_time,cv
128,768,12,12,3072,4,0.052634,0.000312,0.005927727324543071
256,768,12,12,3072,4,0.100067,0.001802,0.01800793468376188
512,768,12,12,3072,4,0.221594,0.002822,0.0127350018502306
128,1024,24,16,4096,4,0.150871,0.002251,0.014920031019877909
256,1024,24,16,4096,4,0.301594,0.003154,0.010457767727474686
512,1024,24,16,4096,4,0.657280,0.003922,0.005967015579357352
128,1280,36,20,5120,4,0.358094,0.003907,0.010910543041771154
256,1280,36,20,5120,4,0.677088,0.005402,0.00797828347275391
512,1280,36,20,5120,4,,,OOM
128,1600,48,25,6400,4,0.707009,0.005997,0.008482211683302475
256,1600,48,25,6400,4,,,OOM
512,1600,48,25,6400,4,,,OOM
128,2560,32,32,10240,4,,,OOM
256,2560,32,32,10240,4,,,OOM
512,2560,32,32,10240,4,,,OOM
