context_length,d_model,num_layers,num_heads,d_ff,batch_size,mean_time,std_time,cv
128,768,12,12,3072,4,0.064861,0.001076,0.016589321780422748
256,768,12,12,3072,4,0.100844,0.001005,0.009965887906072746
512,768,12,12,3072,4,0.189355,0.002939,0.015521111140450478
128,1024,24,16,4096,4,0.201784,0.001909,0.009460611346786664
256,1024,24,16,4096,4,0.320342,0.000387,0.001208083860374225
512,1024,24,16,4096,4,0.581659,0.002189,0.0037633733854371717
128,1280,36,20,5120,4,0.487466,0.000687,0.0014093290608986062
256,1280,36,20,5120,4,0.750421,0.002997,0.0039937581704136745
512,1280,36,20,5120,4,,,OOM
128,1600,48,25,6400,4,,,OOM
256,1600,48,25,6400,4,,,OOM
512,1600,48,25,6400,4,,,OOM
128,2560,32,32,10240,4,,,OOM
256,2560,32,32,10240,4,,,OOM
512,2560,32,32,10240,4,,,OOM
