context_length,d_model,num_layers,num_heads,d_ff,batch_size,mean_time,std_time,cv
128,768,12,12,3072,4,0.066775,0.000166,0.0024859603144889554
256,768,12,12,3072,4,0.073037,0.000356,0.00487424182263784
512,768,12,12,3072,4,0.137245,0.000605,0.0044081751612080585
128,1024,24,16,4096,4,0.165863,0.000310,0.001869012377685198
256,1024,24,16,4096,4,0.208729,0.000935,0.004479492547753307
512,1024,24,16,4096,4,0.388248,0.000549,0.0014140446312666131
128,1280,36,20,5120,4,0.334017,0.001109,0.003320190289715793
256,1280,36,20,5120,4,0.457238,0.000754,0.0016490317952576122
512,1280,36,20,5120,4,,,OOM
128,1600,48,25,6400,4,,,OOM
256,1600,48,25,6400,4,,,OOM
512,1600,48,25,6400,4,,,OOM
128,2560,32,32,10240,4,,,OOM
256,2560,32,32,10240,4,,,OOM
512,2560,32,32,10240,4,,,OOM
