context_length,d_model,num_layers,num_heads,d_ff,batch_size,mean_time,std_time,cv
128,768,12,12,3072,4,0.072913,0.000642,0.00880501419499952
256,768,12,12,3072,4,0.120324,0.001121,0.00931651208403976
512,768,12,12,3072,4,0.241405,0.001038,0.004299828089724737
128,1024,24,16,4096,4,0.219400,0.000989,0.0045077484047402
256,1024,24,16,4096,4,0.369397,0.001648,0.004461324807727188
512,1024,24,16,4096,4,0.723469,0.001837,0.0025391550985598556
128,1280,36,20,5120,4,0.518490,0.001873,0.0036124129684275493
256,1280,36,20,5120,4,,,OOM
512,1280,36,20,5120,4,,,OOM
128,1600,48,25,6400,4,,,OOM
256,1600,48,25,6400,4,,,OOM
512,1600,48,25,6400,4,,,OOM
128,2560,32,32,10240,4,,,OOM
256,2560,32,32,10240,4,,,OOM
512,2560,32,32,10240,4,,,OOM
