context_length,d_model,num_layers,num_heads,d_ff,batch_size,mean_time,std_time,cv
128,768,12,12,3072,4,0.017355,0.000076,0.004379141457793144
256,768,12,12,3072,4,0.033171,0.000092,0.0027735069789876702
512,768,12,12,3072,4,0.074965,0.002166,0.02889348362569199
128,1024,24,16,4096,4,0.051182,0.000228,0.004454691102340667
256,1024,24,16,4096,4,0.104166,0.002872,0.027571376456809325
512,1024,24,16,4096,4,0.229300,0.002131,0.009293501962494548
128,1280,36,20,5120,4,0.114633,0.004112,0.03587099700784242
256,1280,36,20,5120,4,0.225889,0.002560,0.011332999836202737
512,1280,36,20,5120,4,0.485400,0.001972,0.004062628759785743
128,1600,48,25,6400,4,0.228173,0.002753,0.012065406511725751
256,1600,48,25,6400,4,0.473764,0.002617,0.005523847316385373
512,1600,48,25,6400,4,,,OOM
128,2560,32,32,10240,4,0.334850,0.002672,0.007979692399581902
256,2560,32,32,10240,4,,,OOM
512,2560,32,32,10240,4,,,OOM
